"Код";"Наименование";"Наличие";"Цена";"Полное описание";"Категория";"Фотография";"Производитель";"Название";"Артикул";"Гарантия";"Ресурс при 5% заполнении";"Тип";"Цвет печати";"Совместимость";"Категория";"Технология печати";"Для бренда";"Фасовка";"Тип чернил";"Штук в упаковке";"Размер";"Формат";"Плотность";"Белизна";"Тип фотобумаги";"Количество картриджей"
00000000392;Тонер-картридж Brother TN-2175 (O);Да;2 580;;Картриджи;86358bfc-1d26-11de-a48f-00804842e01d;Brother;;;От производителя;2600 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2140R/2142R/2150NR/2170WR // Brother DCP-7030R/7032R/7040R/7045NR // Brother MFC-7320R/7440NR/7840WR;Картриджи;Лазерная;;;;;;;;;;
00000000856;Тонер-картридж Brother TN-2075 (O);Да;2 620;;Картриджи;9374c138-907e-11de-9e2e-00804842e01d;Brother;;;От производителя;2500 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2030R/2040R/2070NR // Brother DCP-7010R/7025R // Brother MFC-7225/7420R/7820NR // Brother FAX-2825R/2920R;Картриджи;Лазерная;;;;;;;;;;
00000001760;Тонер-картридж Brother TN-3130 (O);Да;2 880;;Картриджи;4dea1e77-5e5d-11df-9aed-ef72a8d140d7;Brother;;;От производителя;3500 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-5240/5250DN/5270DN/5280DW // МФУ Brother DCP-8060/8065DN // Brother MFC-8860DN;Картриджи;Лазерная;;;;;;;;;;
00000002217;Тонер-картридж Brother TN-3170 (O);Да;4 050;;Картриджи;d5c02105-af54-11df-9b41-cc769c9f58a7;Brother;;;От производителя;7000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-5240/5250DN/5270DN/5280DW // МФУ Brother DCP-8060/8065DN // Brother MFC-8860DN;Картриджи;Лазерная;;;;;;;;;;
00000002218;Тонер-картридж Brother TN-3230 (O);Да;2 750;;Картриджи;d5c02107-af54-11df-9b41-cc769c9f58a7;Brother;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-5340D/5350DN/5370DW // МФУ Brother DCP-8070D/8085DN // Brother MFC-8370DN/8880DN/8890DW;Картриджи;Лазерная;;;;;;;;;;
00000002219;Тонер-картридж Brother TN-3280 (O);Да;4 850;;Картриджи;d5c02109-af54-11df-9b41-cc769c9f58a7;Brother;;;От производителя;8000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-5340D/5350DN/5370DW // МФУ Brother DCP-8070D/8085DN // Brother MFC-8370DN/8880DN/8890DW;Картриджи;Лазерная;;;;;;;;;;
00000002221;Тонер-картридж Brother TN-2085 (O);Да;1 810;;Картриджи;d5c0210e-af54-11df-9b41-cc769c9f58a7;Brother;;;От производителя;1500 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2035R;Картриджи;Лазерная;;;;;;;;;;
00000003079;Тонер-картридж Brother TN-2275 (O);Да;1 920;;Картриджи;dda77d87-c971-11e0-9f4f-001e67062bc9;Brother;;;От производителя;2600 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2240R/2250DNR // Brother DCP-7060DR/7065DNR/7070DWR // Brother MFC-7360NR/7860DWR;Картриджи;Лазерная;;;;;;;;;;
00000003349;Тонер-картридж Brother TN-2090 (O);Да;1 210;;Картриджи;5e47f025-216d-11e1-9a6e-001e67062bc8;Brother;;;От производителя;1000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2132R // Brother DCP-7057R;Картриджи;Лазерная;;;;;;;;;;
00000004015;Тонер-картридж Brother TN-2080 (O);Да;1 040;;Картриджи;9e62f16b-c2a4-11e1-93fa-001e67062bc9;Brother;;;От производителя;700 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2130R // Brother DCP-7055R;Картриджи;Лазерная;;;;;;;;;;
